date,open,high,low,close,volume
2022-05-13,1955.15458896,2146.85089227,1935.24134041,2005.90791359,1337344.5005784463
2022-05-12,2076.56261045,2187.32501535,1719.37501203,1954.88007618,3258268.739675396
2022-05-11,2341.2023894,2456.19161742,2000.40577551,2076.65141064,2929993.572177622
2022-05-10,2228.93121114,2457.1043206,2199.55046378,2341.1542591,1887585.2887035103
2022-05-09,2519.34648902,2529.54462876,2223.23451741,2228.99501598,2034181.0956838245
2022-05-08,2635.31298044,2641.90617972,2483.55467715,2519.31065941,780184.9306628346
2022-05-07,2692.99107128,2704.3755776,2586.81039619,2635.24415129,369376.4388101072
2022-05-06,2747.99607805,2757.57199752,2632.27238808,2692.35778864,786492.558896325
2022-05-05,2940.01431171,2953.85629334,2686.54688488,2747.47929545,782252.6674200821
2022-05-04,2780.74316895,2966.65766348,2770.57373192,2940.03630487,633007.3731433395
2022-05-03,2856.46514939,2861.70337736,2715.50681471,2780.5029691,431067.44928411633
